destination,price,start_date,end_date,travel_duration,month,airline,stops,fetched_at
"Bangkok, Thailand",159.0,2026-05-07,2026-05-11,Weekend,Flexible (All),Thai Lion Air,0,2026-02-03T15:14:14.586325
"Hanoi, Vietnam",208.0,2026-04-16,2026-04-19,Weekend,Flexible (All),Scoot and Vietjet,0,2026-02-03T15:14:14.586360
"Federal Territory of Kuala Lumpur, Malaysia",114.0,2026-04-16,2026-04-20,Weekend,Flexible (All),Scoot,0,2026-02-03T15:14:14.586366
"Hong Kong, Hong Kong",290.0,2026-06-11,2026-06-15,Weekend,Flexible (All),Scoot,0,2026-02-03T15:14:14.586371
"Hội An, Vietnam",186.0,2026-04-16,2026-04-20,Weekend,Flexible (All),Vietjet,0,2026-02-03T15:14:14.586376
"Ho Chi Minh City, Vietnam",152.0,2026-03-05,2026-03-08,Weekend,Flexible (All),Vietjet,0,2026-02-03T15:14:14.586381
"Hạ Long Bay, Vietnam",208.0,2026-04-16,2026-04-19,Weekend,Flexible (All),Scoot and Vietjet,0,2026-02-03T15:14:14.586386
"Tokyo, Japan",395.0,2026-06-26,2026-06-29,Weekend,Flexible (All),Scoot and ZIPAIR Tokyo,0,2026-02-03T15:14:14.586391
"Mumbai, India",203.0,2026-03-28,2026-03-30,Weekend,Flexible (All),Air India and Air India Express,2,2026-02-03T15:14:14.586396
"New Delhi, India",306.0,2026-07-16,2026-07-20,Weekend,Flexible (All),"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:14:14.586407
"Dubai, United Arab Emirates",544.0,2026-03-19,2026-03-23,Weekend,Flexible (All),Gulf Air,1,2026-02-03T15:14:14.586412
"Kyoto, Japan",365.0,2026-06-25,2026-06-29,Weekend,Flexible (All),Peach Aviation,0,2026-02-03T15:14:14.586416
"Chiang Mai, Thailand",282.0,2026-05-23,2026-05-25,Weekend,Flexible (All),Thai Lion Air and Scoot,1,2026-02-03T15:14:14.586420
"Jaipur, India",281.0,2026-02-28,2026-03-02,Weekend,Flexible (All),Air India and Air India Express,1,2026-02-03T15:14:14.586425
"Phuket, Thailand",159.0,2026-05-14,2026-05-18,Weekend,Flexible (All),Scoot,0,2026-02-03T15:14:14.586429
"Seoul, South Korea",317.0,2026-03-05,2026-03-09,Weekend,Flexible (All),"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:14:14.586433
"Goa, India",276.0,2026-03-12,2026-03-15,Weekend,Flexible (All),Air India and Air India Express,1,2026-02-03T15:14:14.586438
"Beijing, China",294.0,2026-06-25,2026-06-29,Weekend,Flexible (All),China Southern and Chongqing Airlines,1,2026-02-03T15:14:14.586442
"Osaka, Japan",365.0,2026-06-25,2026-06-29,Weekend,Flexible (All),Peach Aviation,0,2026-02-03T15:14:14.586446
"Shanghai, China",291.0,2026-03-05,2026-03-08,Weekend,Flexible (All),Spring,0,2026-02-03T15:14:14.586450
"Bengaluru, India",292.0,2026-03-19,2026-03-22,Weekend,Flexible (All),IndiGo,1,2026-02-03T15:14:14.586455
"Abu Dhabi, United Arab Emirates",544.0,2026-03-19,2026-03-23,Weekend,Flexible (All),Gulf Air,1,2026-02-03T15:14:14.586459
